"","name","platform","year_of_release","genre","global_sales","critic_score","critic_count","user_score","user_count","rating"
"6551","Army of Two: The Devil's Cartel","Xbox",2013,"Shooter",260000,54,55,62,195,"17+"
"6552","Puppeteer","Playstation",2013,"Platform",260000,80,75,85,236,"10+"
"6554","Tom Clancy's Splinter Cell: Double Agent","Playstation",2007,"Action",260000,78,17,65,41,"17+"
"6559","Legendary","Xbox",2008,"Shooter",260000,47,39,71,87,"17+"
"6560","Peter Jackson's King Kong: The Official Game of the Movie","Xbox",2005,"Action",260000,80,57,75,79,"13+"
"6567","All-Star Baseball 2003","Xbox",2002,"Sports",260000,79,15,81,7,"Everyone"
"6568","MTX Mototrax","Playstation",2004,"Racing",260000,77,30,81,9,"Everyone"
"6571","NBA ShootOut 2004","Playstation",2003,"Sports",260000,58,19,78,8,"Everyone"
"6579","Baldur's Gate: Dark Alliance II","Xbox",2004,"Role-Playing",260000,77,44,79,16,"13+"
"6584","Secret Weapons Over Normandy","Xbox",2003,"Simulation",250000,77,31,88,4,"13+"
"6589","Teen Titans","Playstation",2006,"Action",250000,56,12,86,17,"10+"
"6604","NASCAR 09","Xbox",2008,"Racing",250000,69,32,78,15,"Everyone"
"6606","NASCAR 09","Playstation",2008,"Racing",250000,65,22,75,10,"Everyone"
"6607","Game of Thrones","Xbox",2012,"Role-Playing",250000,52,35,52,126,"17+"
"6623","Amped 2","Xbox",2003,"Sports",250000,80,34,77,20,"Everyone"
"6628","NHL 08","Playstation",2007,"Action",250000,86,23,69,23,"10+"
"6632","Juiced 2: Hot Import Nights","Playstation",2007,"Racing",250000,71,10,64,5,"13+"
"6637","Dead or Alive Xtreme 2","Xbox",2006,"Sports",250000,53,46,67,42,"17+"
"6640","PlayStation VR Worlds","Playstation",2016,"Misc",250000,59,48,71,73,"17+"
"6641","Hunted: The Demon's Forge","Playstation",2011,"Action",250000,57,34,62,70,"17+"
"6642","Men of Valor","Xbox",2004,"Shooter",250000,73,47,80,8,"17+"
"6648","NHL 08","Xbox",2007,"Action",250000,85,44,82,44,"10+"
"6651","WipEout Fusion","Playstation",2002,"Racing",250000,83,21,85,43,"Everyone"
"6653","Prison Break: The Conspiracy","Playstation",2010,"Action",250000,42,33,38,20,"13+"
"6655","NHL 06","Xbox",2005,"Sports",250000,79,35,84,18,"10+"
"6663","XIII","Xbox",2003,"Shooter",250000,74,38,83,15,"17+"
"6664","Up","Playstation",2009,"Action",250000,65,5,65,4,"10+"
"6669","MotoGP '07","Xbox",2007,"Racing",250000,78,20,73,11,"Everyone"
"6670","Cars","Xbox",2006,"Racing",250000,65,16,61,8,"Everyone"
"6680","Hatsune Miku: Project Diva F 2nd","Playstation",2014,"Misc",250000,78,15,86,49,"13+"
"6685","The Mummy: Tomb of the Dragon Emperor","Playstation",2008,"Action",250000,38,7,68,6,"13+"
"6689","The Sims 2","Xbox",2005,"Simulation",250000,75,31,71,8,"13+"
"6692","The Bureau: XCOM Declassified","Playstation",2013,"Shooter",250000,69,22,67,79,"17+"
"6693","World Series Baseball 2K3","Playstation",2003,"Sports",250000,87,21,87,19,"Everyone"
"6697","The Outfit","Xbox",2006,"Action",250000,70,52,75,48,"17+"
"6700","Don King Presents: Prizefighter","Xbox",2008,"Sports",250000,56,45,64,29,"13+"
"6704","Devil Kings","Playstation",2005,"Action",250000,64,27,74,12,"13+"
"6709","Bolt","Xbox",2008,"Adventure",250000,57,18,71,7,"10+"
"6711","Spider-Man: Edge of Time","Xbox",2011,"Action",250000,57,50,68,33,"13+"
"6716","Dynasty Warriors 6","Playstation",2008,"Action",250000,43,7,54,14,"13+"
"6718","America's Army: Rise of a Soldier","Xbox",2005,"Shooter",250000,70,19,74,21,"13+"
"6722","Pirates of the Caribbean: The Legend of Jack Sparrow","Playstation",2006,"Adventure",250000,51,32,75,13,"13+"
"6728","Armored Core 4","Xbox",2007,"Simulation",250000,65,31,72,31,"13+"
"6733","SBK Superbike World Championship","Playstation",2008,"Racing",250000,59,7,61,8,"10+"
"6741","Major League Baseball 2K7","Playstation",2007,"Sports",250000,74,19,47,7,"Everyone"
"6742","Final Fantasy XI: Chains of Promathia","Playstation",2004,"Role-Playing",250000,77,13,80,10,"13+"
"6743","The Chronicles of Riddick: Assault on Dark Athena","Playstation",2009,"Shooter",250000,80,45,77,40,"17+"
"6751","TV Superstars","Playstation",2010,"Misc",250000,56,17,49,8,"Everyone"
"6752","Family Guy: Back to the Multiverse","Xbox",2012,"Action",250000,39,28,50,51,"17+"
"6753","Ninja Gaiden 3","Xbox",2012,"Action",250000,58,39,44,136,"17+"
"6758","Sword Art Online: Lost Song","Playstation",2015,"Role-Playing",250000,63,32,63,60,"13+"
"6760","F1 2015","Xbox",2015,"Racing",250000,64,13,53,22,"Everyone"
"6768","Digimon World: Data Squad","Playstation",2006,"Role-Playing",240000,43,12,80,20,"10+"
